created,id,text,screenName,retweetCount
2017-05-27T09:42:43Z,868402075734069248,I think I'm the only person that didn't wake up because of the storm :(,BeccaxHatesxYou,0
2017-05-27T09:25:42Z,868397792917680128,Actually gutted I didn't see that massive storm last night :(,c8obrien,0
2017-05-27T09:15:31Z,868395231712075776,And we're planning to go the beach. :( maybe we'll watch the storm instead... https://t.co/HgAVbR29fh,tony_sutton,0
2017-05-27T09:06:49Z,868393038531481600,Wah I'm scared my mommy has to drive home when its dark out in this mini snow storm or whatever it is :(,WathenSon,0
2017-05-27T08:46:49Z,868388005911957504,"@CarlyPage_ Waiting for the storm, horrid pressure headache :(",paulafoosp,0
2017-05-27T08:34:20Z,868384866185957376,Was meant to have a BBQ today :( sadly the storm rolled in #ukweather,ShhGhh0,0
2017-05-27T08:16:17Z,868380324828499968,"@plymouthgas That's amazing. We had some of that in Portsmouth but it didn't last longer than 15 minutes, as usual :( #storm",EmmyytheKitty,0
2017-05-27T07:59:54Z,868376202414895104,"@LilianHarry N'bour's dog left alone all night. Enormous storm overheard. She was in garden after, howling :(",lomelindi12,0
2017-05-27T07:54:34Z,868374857687478272,Moody skies &amp; unusually high tide after last night's epic storm :-( Just want to get out on the water... https://t.co/RrPRxp83NF,Sarah_James,0
2017-05-27T07:47:03Z,868372965280407552,the fucking storm is keeping me awake :( i was almost asleep earlier then i had to close the window bc rain. and now the power blinked,wilsonskatana,0
2017-05-27T07:43:54Z,868372173244780544,twits' first thunder storm didn't go too well :( poor twits x,tessaanne_01,0
2017-05-27T07:34:26Z,868369792138440704,@kirelicnh @kevbanufong Awwww i hate missing a good storm :(,punchymcslap,0
2017-05-27T07:05:40Z,868362553780576256,@QuijoteMike @wbtphdjd @Khanoisseur Flynn would call Trump and Trump would tweet a storm.. Hopefully by then sanerâ€¦ https://t.co/aBRiMBopWh,renmiri1,0
2017-05-27T07:00:53Z,868361350510149632,I want to quit osu but Rising Storm 2 Vietnam isn't out yet and I don't have anything to do :(,ZainSugieres,0
2017-05-27T06:59:29Z,868360995764400128,I'm jealous of the storm the south west got last night... :( Still hot as balls here.,saiyanhajime,0
2017-05-27T06:55:41Z,868360040889159680,"what the hell i slept through the storm last night, i wanted to see it :(",immywyatt1,0
2017-05-27T06:42:42Z,868356774230978560,@EssexWeather I'd rather have a really good storm :(,littlemisscazzy,0
2017-05-27T06:40:04Z,868356111384137728,Well that storm at 4.30am did nothing still humid :(,skipper68uk,0
2017-05-27T06:07:21Z,868347875868123136,@JoeyGraceffa Poor Storm :(,curioshittii,0
2017-05-27T05:05:00Z,868332186931527680,@JonahMarais Trying not to die in this storm. :(,kira_chelle00,0
2017-05-27T04:03:27Z,868316696339238913,sad that the storm has passed lmao come back pls :(,smokeandbeth,0
2017-05-27T03:40:20Z,868310877476450305,Well that was quick :( love a good storm,llclayton89,0
2017-05-27T03:20:08Z,868305795053744130,i swear the storm calms down every time i try to film it &gt;:(,habbovirgoo,0
2017-05-27T03:14:42Z,868304426875965441,Pool opens tomorrow!! Yet it's supposed to storm :(,thebubbles09,0
2017-05-27T03:11:17Z,868303567270137856,Massive thunder storm and I've got washing on the line lmao :(,_laurenprocter,0
2017-05-27T02:47:15Z,868297518278475776,I'm living for the uk storm rn why can't it be where I am :( beautiful lightning,s4nitys,0
2017-05-27T02:33:58Z,868294175388815360,@BrandonIveyWX @ReedTimmerAccu He is and will forever be missed! I always would watch the tv show Storm Chasers andâ€¦ https://t.co/2USjGYBHrC,damien_da_boss1,0
2017-05-27T01:59:17Z,868285448501645312,@RadderssGaming I believe its just called an electrical storm. Excess influx of static in the air. Still dangerous though :(,UzumakiWasTaken,0
2017-05-27T01:38:16Z,868280160814067714,Wah I'm scared my mommy has to drive home when its dark out in this mini snow storm or whatever it is :(,sheridanrodri18,0
2017-05-27T01:23:12Z,868276366894039040,Hello storm! Still not a fan of them and I'm living on my own :(,PetiteTheatre,0
2017-05-27T00:59:22Z,868270371698593792,@ObscuredLeg I'm actually jealous. We've had rain all month but no thunderstorms :(,storm_blessed_,0
2017-05-27T00:47:50Z,868267466086125570,"There's a huge thunder storm going on, which I don't mind but it killed the power during our game }:-(",HesperaSmith,0
2017-05-27T00:31:08Z,868263264123310084,Rory's literally slept through all of that storm even though I tried so hard to wake him up to show him :(,taradaunt,0
2017-05-27T00:16:17Z,868259526553849857,Ugly storm coming this way. Maybe I should wait to log on to wiz :( https://t.co/x6DTmQVSJg,Iridian_Willow,0
2017-05-26T23:48:04Z,868252425169367040,#thunder #lightening I am so hoping the storm doesn't come into East Wiltshire tonight I hate #storms so much #terrified #stayawake :-(,hannahbakesyay,0
2017-05-26T23:17:09Z,868244646786478080,I think it's going to storm later tonight. :(,hylianviolinist,0
2017-05-26T22:26:45Z,868231961722204160,Loaded up Overwatch.  Didn't get the rewards from Heroes of the Storm events I've been doing the past couple weeks :( @BlizzardCS,SiccoThermaplug,0
2017-05-26T22:00:03Z,868225242501664770,Like wind? You'll love this weekend  :(  Rain possible Sat/Sun &amp; Monday looks dry.  Tom Schrader KX Storm Teamâ€¦ https://t.co/swQ0Q4i1dc,KXNewsMinot,0
2017-05-26T21:14:17Z,868213726821756928,i cudlnt sleep bcs of the storm now :( im rly rly sxared its so loud,revenqefrank,0
2017-05-26T20:53:53Z,868208590473113600,"@I_am_Suzette Just picked up a #FlowerAndGarden booklet, no Jackson Storm. :(",ThisDayInPixar,0
2017-05-26T20:33:43Z,868203516531286018,Yikes... Intense thunder has started here... Ughh this storm is gonna suck :(,CarbonMeister,0
2017-05-26T20:32:18Z,868203160204177410,I feel like I'm alone in this and could do with some help from the @thespeakmans fear of a storm coming tomorrow :(,AJS_EST_1995,0
2017-05-26T19:41:25Z,868190355019182080,it looks like it's about to storm :( this better not ruin my night with Normani,dwtsgrace,0
2017-05-26T19:20:06Z,868184988709253120,"@audrey_anne21 @HannahDouglas99 Guys, it's gonna storm tomorrow :(",Cheyalmamarie,0
2017-05-26T18:20:51Z,868170081196531712,@SabrinaAnnLynn there was a storm outside today and I couldn't sleep so lucky you :(,gomzsab,0
2017-05-26T18:14:22Z,868168449314443264,@Mcr_Storm @manc_phoenix @Altrincham_Rink @MENnewsdesk @MENSports @SheldanKeay @BBCMancSports @BBCRadioManc @BBCNWTâ€¦ https://t.co/gPIrfLOUvf,peterbrads,0
2017-05-26T17:46:31Z,868161439734870016,I loved my Addy doll. I lost her in the storm. And all my books. :( https://t.co/TwtvrLuq1H,dawni3marie,0
2017-05-26T17:11:59Z,868152747035684864,Nugget died in the storm last night :(,bladedvixen,0
2017-05-26T16:41:14Z,868145009677271040,@thestormandsky @betito10034 Obviously it was an exaggeration. Awesome storm though!! Unfortunately we went South tâ€¦ https://t.co/W4QUjBytXK,TeamSuckZone,0
2017-05-26T15:31:17Z,868127409027112960,morning i fell asleep so late bc there was a thunder storm last night &amp; i was too scared to sleep :(((,seductiveyug,0
2017-05-26T14:22:12Z,868110021514711042,"@thoughtxriot I think it's just a tough weekend for anything remotely fair. Storm is all over, and the devoted druiâ€¦ https://t.co/7myXpqoX2a",Steinfeld91,0
2017-05-26T12:16:16Z,868078329148170241,"Nottingham_Post : The sun isn't going to last :(
https://t.co/waF83ZBOIm (via Twitter https://t.co/1j1QWTbhWY) https://t.co/vVPDkU2CJz",NottinghamPost,0
2017-05-26T12:13:00Z,868077507748257792,"The sun isn't going to last :(
https://t.co/BtaXJxR2Zy",Nottingham_Post,1
2017-05-26T11:21:42Z,868064597709905922,There is a giant storm outside :( RIP weekend electricity,FSTyph00n21,0
2017-05-26T11:19:13Z,868063970380451842,@funder SIGH - but DB don't HAVE to hand over docs and none of @GOP signed on to letter :-( I feel we will never geâ€¦ https://t.co/SsViUvV531,KeepResistng,1
2017-05-26T06:07:47Z,867985599260643328,"@starrymoonbeams @namjooncocoa Yes! Hopefully they do well, and it doesn't turn into a storm, I REALLY don't mean fâ€¦ https://t.co/GM4Qeoy59M",yungtaeil,0
2017-05-26T04:59:27Z,867968402802876418,@TriCom_Storm why u don't fuck with me no more? We used to be mad cool :(,FatGibbs,0
2017-05-26T04:11:40Z,867956374403207169,"You are the fire on my apartment floor. Sixteen stories, I'd rather burn than fall. It isn't fate that took us all by storm.. :(",Ai640x,0
