created,id,text,screenName,retweetCount
2017-05-27T10:22:04Z,868411978703884288,@ladymooonlight Dont tell me you slept over all that storm that hit us :p,metalheadjunkie,0
2017-05-27T10:21:00Z,868411707407962112,"That was a lovely thunder storm. Brief, but lovely. :)",mattdoylemedia,0
2017-05-27T10:13:49Z,868409901101527040,@Finner16 @Mcr_Storm Welcome :-) can't wait to get the new season started and get the shelter bouncing now! A Storm‚Ä¶ https://t.co/injjRw90lC,rebellion_adam,0
2017-05-27T10:06:23Z,868408032396488704,@simonvenet @seattlestorm @SamBam32 Storm mon grand :),sotominguez,0
2017-05-27T10:05:25Z,868407787734302721,@straightoutlens I hope this storm comes to Manchester :),Mustang_Man_80,0
2017-05-27T09:41:47Z,868401838667771904,"@YahYahTansley It's back to blue skies though now, hopefully just a passing storm :)",LolitaScent,0
2017-05-27T09:29:42Z,868398799101861890,I love a good storm! good job work is done for the day :) timed that well... don't think it over yet! reckon we're on for round two!,Ellen_Handy,0
2017-05-27T09:19:35Z,868396252140101633,@wightlink1 @iwightradio @iwcponline Great shots!  It certainly was a good storm! :),UnderYourTree,0
2017-05-27T09:05:32Z,868392717134548995,Half term is here = massive storm and rain! This has been a long and stressful term and I'm ready to recharge my batteries!:),aurelagazel,0
2017-05-27T09:00:39Z,868391489688264704,@RTWBarefoot The storm came past me in the middle of the night. Woke up to watch it :) ‚õà,exploreacorner,0
2017-05-27T08:58:10Z,868390865533841409,"@theyarnyard its possible to make your own, if you don't mind playing a mad chemist :) Also known as a storm glass.‚Ä¶ https://t.co/HamX6PAxds",velvetpurrs,0
2017-05-27T08:50:32Z,868388944643321856,fuck off why is there a storm when we're supposed to go we are in a few hours :),lollylee_,0
2017-05-27T08:45:11Z,868387594563973120,Love dressing up overly summery and seeing that it's gonna storm and  I'm not gonna be home to change tho decent :),mightymazo,0
2017-05-27T08:43:49Z,868387250417143808,@Paper_Polly It's my go to favourite whenever there's a storm :),Pandamoanimum,0
2017-05-27T08:39:52Z,868386257122021376,Coo. Sunny but not as warm today. Dark clouds around a bit. Maybe we'll get a storm later! :) #HeresHoping,RTWBarefoot,0
2017-05-27T08:37:10Z,868385578441740288,"The sky has gone from hot blue summers day to, it's about to storm, in just 5 minutes :)",DarkSpanArtist,0
2017-05-27T08:28:50Z,868383480287305730,"Me: Did the big storm wake you up last night?
3yo Mia: Not a storm. Fireworks.
Aw, cute. :)",DavidBridger,0
2017-05-27T08:12:33Z,868379383282774016,@sharkeee @BCSomerset @MigrantMothUK you missed the storm then :),louisenobladder,0
2017-05-27T08:10:37Z,868378898278567937,"Yes, very pretty last night - not quite so much this morning after last night's epic storm :) Some tight, thought-p‚Ä¶ https://t.co/XRy2XYnWfm",JezzEllwoodGolf,0
2017-05-27T08:10:29Z,868378865256861696,"Right, half asleep from waking up at 5am to a thunder storm but I think I need to write a blog post- May Favourites I think I'll do :)",AbbieChic,0
2017-05-27T07:51:05Z,868373981027500032,@Finner16 @Mcr_Storm Ryan - I moved from Clan to Storm myself. Now about that Irn Bru vending machine at the Shelte‚Ä¶ https://t.co/nAQNWdGum5,iamfuriousmoose,0
2017-05-27T07:40:30Z,868371318324031488,awks when i slept through the storm that everyone's on about :),windmillsmaiz,1
2017-05-27T07:35:32Z,868370067678953473,"Didn't hear any storm
Thunder or lightning
Never do
Must be so at peace storms just float of by :)
#sleptlikeababy #beauwakesmenotstorms",becauseucan,0
2017-05-27T07:20:58Z,868366403224707077,@WessexWeather Oh very yes :) only ever seen lightning like that on  storm videos from the likes of Texas.,CaeruleanSea,0
2017-05-27T07:12:38Z,868364304625668097,@JackieJax1826 Morning Jackie. Just walked through the village in a warm rain storm. Lovely. Enjoy the IOW :),ThoughtsNo2,0
2017-05-27T07:05:09Z,868362422653988865,"heard a distant rumble last night,,,:)   #storm https://t.co/WSwjSC8zQj",joeleeds_motd,0
2017-05-27T06:36:44Z,868355269125865472,"@__alexsmyth I'm hoping it rains! But I want it too Thunder too, I love a tropical storm :) Ì†ºÌº¥Makes me feel like I'm in the Caribbean again Ì†ΩÌ∏Å",carlyccxx,0
2017-05-27T06:20:18Z,868351133449957376,Who is awake with me! That storm last night was intense :-),Jame5Gibson,0
2017-05-27T06:15:53Z,868350024450809856,@Alex2Sips I hadn't seen an electrical storm like that in years. Made me wish I'd invested in a good camera :),PeterLePage,0
2017-05-27T06:13:11Z,868349344214380544,@JenniHarris4 Gotta ‚ô• a good storm :-) :-) x,1StevieKilner,0
2017-05-27T06:08:20Z,868348124238098432,Glad weather has cleared up after that amazing lightning storm at 3am this morning! Now off to @porthcawparkrun to do my 71st @parkrunUK :),sharifowadally,1
2017-05-27T06:04:00Z,868347031928004608,@storm_soul19 Sure thing :-),zkline,0
2017-05-27T05:57:34Z,868345416215011328,@StorM_Blitzz  thanks for hosting the stream :) https://t.co/OGeVLW1Ku9,ryancph329,0
2017-05-27T05:24:47Z,868337164202803200,Waiting for Heroes of the Storm to download by killing time here. :),otaku_vikings,0
2017-05-27T05:19:59Z,868335955488391168,@StorM_Blitzz I subscribed to Dev with proof of doing so my man!:D https://t.co/djY1f5pjOy,Streetdemon12,0
2017-05-27T05:18:53Z,868335680673513473,"@davidcoverdale Storm Bringer, headed to Ohio :)",Andrealuvws,0
2017-05-27T04:44:47Z,868327095704932352,"@Seamustoo @LouFlynn_ted9 @Tallguy2436 @saraturner19 @LindaG516 Well,have to drive out tomorrow to see my Dad in We‚Ä¶ https://t.co/DNL47FBX6z",sjfotos,0
2017-05-27T04:38:32Z,868325523495075840,"You may have been through a storm, but God will bring you out better off than you were before. :)",TalentedMaid,0
