text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @F1: TWO HOURS until lights out at the #RussianGP! Excited, Seb? #F1 https://t.co/25jikh2BPR",FALSE,0,NA,2017-04-30T10:13:53Z,FALSE,NA,858625448078700544,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ArashDaryadel,123,TRUE,FALSE,NA,NA
RT @F1: Three things to watch at the #RussianGP: @ValtteriBottas hopes his first #F1 win will be one of them... https://t.co/KnsNOekKmw,FALSE,0,NA,2017-04-30T10:13:52Z,FALSE,NA,858625443876007936,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",malik_arslan10,126,TRUE,FALSE,NA,NA
"RT @F1: Row 1: Vettel, Raikkonen
Row 2: Bottas, Hamilton

#RussianGP: unmissable. Here's when to tune in. #F1 https://t.co/F0iMYL4klA",FALSE,0,NA,2017-04-30T10:13:50Z,FALSE,NA,858625434052964353,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LeonelHibl,481,TRUE,FALSE,NA,NA
"RT @PurePitWall: #RussianGP Ì†ºÌ∑∑Ì†ºÌ∑∫ #StatAttack Ì†æÌ∂Ç

Race distance Ì†ΩÌ±â 309.745km 

53 laps x 66 gear changes per lap = 3498 gear changes in race Ì†ΩÌ∏µ‚Ä¶",FALSE,0,NA,2017-04-30T10:13:49Z,FALSE,NA,858625431012093958,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HamanMamadou,34,TRUE,FALSE,NA,NA
"RT @SauberF1Team: Good morning, a sunny Sunday @SochiAutodrom #RussianGP #F1 - autograph session with #PW94 Pascal Wehrlein and #ME9 Marcus‚Ä¶",FALSE,0,NA,2017-04-30T10:13:47Z,FALSE,NA,858625419846852609,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",roli_buehler,19,TRUE,FALSE,NA,NA
"RT @F1: Ferrari or Mercedes?
Williams or Red Bull?
Perez or Ocon?

Plus other key questions ahead of today's #RussianGP ‚¨áÔ∏è¬†https://t.co/4FH‚Ä¶",FALSE,0,NA,2017-04-30T10:13:44Z,FALSE,NA,858625410380300288,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",malik_arslan10,63,TRUE,FALSE,NA,NA
"RT @F1: TWO HOURS until lights out at the #RussianGP! Excited, Seb? #F1 https://t.co/25jikh2BPR",FALSE,0,NA,2017-04-30T10:13:42Z,FALSE,NA,858625400213295105,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",malik_arslan10,123,TRUE,FALSE,NA,NA
"RT @MercedesAMGF1: Wakey wakey Beasties Ì†ΩÌ±è Today's the big day!

#RussianGP Ì†ºÌ∑∑Ì†ºÌ∑∫ #F1 @MercedesAMG https://t.co/G4QqYNWQRI",FALSE,0,NA,2017-04-30T10:13:40Z,FALSE,NA,858625390461554688,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gwdad_moi,37,TRUE,FALSE,NA,NA
"RT @F1: WATCH: Onboard with Sebastian Vettel as he takes pole at the #RussianGP Ì†ºÌ∑∑Ì†ºÌ∑∫

47th pole of his career and his first since 2015 https:‚Ä¶",FALSE,0,NA,2017-04-30T10:13:37Z,FALSE,NA,858625377735987201,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lapualutti_mod,1373,TRUE,FALSE,NA,NA
RT @Max33Verstappen: Raceday Ì†ΩÌ≤™ #UnleashtheLion #keeppushing #RussianGP Ì†ºÌ∑∑Ì†ºÌ∑∫ #F1 https://t.co/dkqVxY0woa,FALSE,0,NA,2017-04-30T10:13:36Z,FALSE,NA,858625374682583041,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",icarovel,189,TRUE,FALSE,NA,NA
