text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @F1: Vettel: ""We're full of joy, very happy - and we'll try to take the momentum into the race""

#F1 #RussianGP https://t.co/e5y72wHwkd",FALSE,0,NA,2017-04-29T19:17:53Z,FALSE,NA,858399958655004674,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",irwinscupidgirl,303,TRUE,FALSE,NA,NA
RT @F1: Fun for Ferrari - maddening for Mercedes? WATCH: #RussianGP FP2 highlights as Vettel and Raikkonen lead the way #F1 https://t.co/I9‚Ä¶,FALSE,0,NA,2017-04-29T19:17:41Z,FALSE,NA,858399909141237761,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ChaserOfMars,297,TRUE,FALSE,NA,NA
RT @niki01103: The bigest suprise of the day: First row for #ScuderiaFerrari Ì†ΩÌ∏Æ#RussianGP #Formula1 #mifolyikittgy√∂ngy√∂s√∂n #sochigp https://‚Ä¶,FALSE,0,NA,2017-04-29T19:17:21Z,FALSE,NA,858399827633344512,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Saba_Khalid28,2,TRUE,FALSE,NA,NA
Who do you think will win the 2017 #RussianGP? #F1,FALSE,0,NA,2017-04-29T19:17:19Z,FALSE,NA,858399816581353472,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",LightsOutF1Blog,0,FALSE,FALSE,NA,NA
"RT @LateBrakers: A problem understood, is a problem ready to be solved. #TeamLH #F1 #Quali #RussianGP https://t.co/LmGonX1HoH",FALSE,0,NA,2017-04-29T19:17:14Z,FALSE,NA,858399794707955712,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bordermike66,1,TRUE,FALSE,NA,NA
"RT @F1: (Turn on Ì†ΩÌ¥ä)

On a scale of 1-10, how pleased does Sebastian Vettel sound?

About a million Ì†ΩÌ∏É

He clinches pole at the #RussianGP ‚¨áÔ∏è‚Ä¶",FALSE,0,NA,2017-04-29T19:17:11Z,FALSE,NA,858399784541048837,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Faniisiina,1843,TRUE,FALSE,NA,NA
"RT @F1: ""I definitely wasn't at my optimum"" 
#F1 #RussianGP https://t.co/aYi7ex8mpW",FALSE,0,NA,2017-04-29T19:16:59Z,FALSE,NA,858399734192627712,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Moore2all,223,TRUE,FALSE,NA,NA
"RT @F1: BREAKING: Sebastian Vettel takes pole at the #RussianGP

First @ScuderiaFerrari front row lock-out since Ì†ºÌ∑´Ì†ºÌ∑∑ 2008 https://t.co/Yc298‚Ä¶",FALSE,0,NA,2017-04-29T19:16:52Z,FALSE,NA,858399705507680256,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gabita_rbdm,3080,TRUE,FALSE,NA,NA
"RT @SkySportF1HD: Terminate le #Quali del #RussianGP: Ì†ºÌ∑∑Ì†ºÌ∑∫Ì†ΩÌ≤®
1Ô∏è‚É£ #Seb5 Ì†ΩÌ≥∏
2Ô∏è‚É£ #Kimi7
3Ô∏è‚É£ @ValtteriBottas 
#SkyMotori Ì†ΩÌ±â https://t.co/zeLjfhcnGY‚Ä¶",FALSE,0,NA,2017-04-29T19:16:50Z,FALSE,NA,858399698083876864,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Miticobeggi,201,TRUE,FALSE,NA,NA
RT @tonydizinno: The One Where @LukeSmithF1 Blends Friends and #RussianGP https://t.co/XVl1eMDTe3,FALSE,0,NA,2017-04-29T19:16:50Z,FALSE,NA,858399697756725251,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ajsaad_alan,1,TRUE,FALSE,NA,NA
"RT @ScuderiaFerrari: POLE POSITION For #Seb5, first row completed by #Kimi7 P2! Ì†ΩÌ±äÌ†ºÌøºÌ†ΩÌ±äÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøº#RussianGP #Quali #ForzaFerrari https://t.co/HB‚Ä¶",FALSE,0,NA,2017-04-29T19:39:05Z,FALSE,NA,858405297030918144,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",joma2477,3458,TRUE,FALSE,NA,NA
"RT @ScuderiaFerrari: POLE POSITION For #Seb5, first row completed by #Kimi7 P2! Ì†ΩÌ±äÌ†ºÌøºÌ†ΩÌ±äÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøº#RussianGP #Quali #ForzaFerrari https://t.co/HB‚Ä¶",FALSE,0,NA,2017-04-29T19:39:04Z,FALSE,NA,858405289565048833,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",dximsakov,3458,TRUE,FALSE,NA,NA
"RT @F1: ""I definitely wasn't at my optimum"" 
#F1 #RussianGP https://t.co/aYi7ex8mpW",FALSE,0,NA,2017-04-29T19:39:02Z,FALSE,NA,858405282560561154,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ClemAndrade,226,TRUE,FALSE,NA,NA
"RT @ScuderiaFerrari: POLE POSITION For #Seb5, first row completed by #Kimi7 P2! Ì†ΩÌ±äÌ†ºÌøºÌ†ΩÌ±äÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøºÌ†ΩÌ±èÌ†ºÌøº#RussianGP #Quali #ForzaFerrari https://t.co/HB‚Ä¶",FALSE,0,NA,2017-04-29T19:38:52Z,FALSE,NA,858405241137528832,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",OctavioAurbina,3458,TRUE,FALSE,NA,NA
"RT @sebvettelnews: Ì†ºÌæô Sebastian Vettel: When I got the message that we got it I was obviously over the moon! 

#RussianGP Ì†ºÌ∑∑Ì†ºÌ∑∫ #F1 #Seb5 https‚Ä¶",FALSE,0,NA,2017-04-29T19:38:52Z,FALSE,NA,858405240726589441,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ClemAndrade,52,TRUE,FALSE,NA,NA
"RT @F1: (Turn on Ì†ΩÌ¥ä)

On a scale of 1-10, how pleased does Sebastian Vettel sound?

About a million Ì†ΩÌ∏É

He clinches pole at the #RussianGP ‚¨áÔ∏è‚Ä¶",FALSE,0,NA,2017-04-29T19:38:51Z,FALSE,NA,858405236796522496,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SaverioMarafiot,1877,TRUE,FALSE,NA,NA
